activity;time;orders;items;packages;customers;products;price;weight;resource;normal;context-aware-normal;deviating
pick item;2019-05-20 17:30:26;{990004};{880015};{};{Wil van der Aalst};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
place order;2019-05-20 18:35:56;{990007};{880026,880027};{};{Lisa Mannel};{Echo Show 8,Echo Dot};164.98;1.36;Finance;yes;no;no;no
place order;2019-05-20 21:27:19;{990008};{880028,880029,880030};{};{Luis Santos};{Echo Studio,iPad mini,Echo Show 5};743.98;2.64;Finance;yes;no;no;no
confirm order;2019-05-20 21:56:21;{990005};{880017,880018};{};{Wil van der Aalst};{iPhone X,iPhone X};1403.0;0.344;Finance;yes;no;no;no
place order;2019-05-21 05:01:30;{990009};{880031,880032,880033,880034,880035,880036};{};{Junxiong Gao};{MacBook Air,Echo,Echo Studio,iPad,iPad Pro,Echo Dot};4128.97;4.856;Finance;yes;no;no;no
confirm order;2019-05-21 08:29:25;{990006};{880019,880020,880021,880022,880023,880024,880025};{};{Christina Rensinghof};{Echo Show 5,iPhone 11,Echo,Echo Plus,Echo Show 8,iPhone 8,Echo};1902.95;5.076;Finance;yes;no;no;no
pick item;2019-05-21 08:31:01;{990008};{880028};{};{Luis Santos};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
confirm order;2019-05-21 08:36:29;{990009};{880031,880032,880033,880034,880035,880036};{};{Junxiong Gao};{MacBook Air,Echo,Echo Studio,iPad,iPad Pro,Echo Dot};4128.97;4.856;Finance;yes;no;no;no
pick item;2019-05-21 09:00:35;{990006};{880024};{};{Christina Rensinghof};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
confirm order;2019-05-21 09:05:34;{990007};{880026,880027};{};{Lisa Mannel};{Echo Show 8,Echo Dot};164.98;1.36;Finance;yes;no;no;no
pick item;2019-05-21 09:29:49;{990001};{880002};{};{Majid Rafiei};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
place order;2019-05-21 09:33:24;{990010};{880037,880038,880039};{};{Wil van der Aalst};{iPad Air,Echo Show 8,Echo Plus};760.98;2.7;Finance;yes;no;no;no
pay order;2019-05-21 09:54:26;{990009};{880031,880032,880033,880034,880035,880036};{};{Junxiong Gao};{MacBook Air,Echo,Echo Studio,iPad,iPad Pro,Echo Dot};4128.97;4.856;Finance;yes;no;no;no
confirm order;2019-05-21 10:12:57;{990002};{880007,880008,880009,880010};{};{Anahita Farhang Ghahfarokhi};{iPad Air,iPhone X,iPhone X,Echo Plus};2028.99;2.064;Finance;yes;no;no;no
confirm order;2019-05-21 10:21:53;{990003};{880011,880012};{};{Wil van der Aalst};{Kindle,Kindle Paperwhite};213.99;0.978;Finance;yes;no;no;no
item out of stock;2019-05-21 10:26:51;{990002};{880007};{};{Anahita Farhang Ghahfarokhi};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
item out of stock;2019-05-21 10:29:16;{990007};{880026};{};{Lisa Mannel};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-05-21 10:46:39;{990009};{880035};{};{Junxiong Gao};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-05-21 10:56:23;{990009};{880032};{};{Junxiong Gao};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
place order;2019-05-21 11:26:34;{990011};{880040,880041,880042,880043};{};{Junxiong Gao};{Kindle Paperwhite,MacBook Pro,Fire Stick 4K,Echo Plus};2873.98;3.425;Finance;yes;no;no;no
pick item;2019-05-21 11:33:48;{990008};{880029};{};{Luis Santos};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
item out of stock;2019-05-21 11:35:47;{990011};{880042};{};{Junxiong Gao};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
reorder item;2019-05-21 11:40:01;{990002};{880007};{};{Anahita Farhang Ghahfarokhi};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
pick item;2019-05-21 11:51:02;{990001};{880004};{};{Majid Rafiei};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
confirm order;2019-05-21 12:05:22;{990008};{880028,880029,880030};{};{Luis Santos};{Echo Studio,iPad mini,Echo Show 5};743.98;2.64;Finance;yes;no;no;no
confirm order;2019-05-21 12:24:03;{990001};{880001,880002,880003,880004,880005,880006};{};{Majid Rafiei};{iPad mini,Fire Stick 4K,Kindle Paperwhite,Kindle,iPad mini,iPad mini};1650.98;2.098;Finance;yes;no;no;no
pick item;2019-05-21 12:25:30;{990006};{880021};{};{Christina Rensinghof};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
pick item;2019-05-21 12:28:27;{990006};{880020};{};{Christina Rensinghof};{iPhone 11};799.0;0.166;Fullfillment;yes;no;no;no
pick item;2019-05-21 12:49:15;{990009};{880033};{};{Junxiong Gao};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
place order;2019-05-21 13:12:53;{990012};{880044,880045};{};{Gyunam Park};{Echo Dot,Echo Studio};234.98;1.86;Finance;yes;no;no;no
pick item;2019-05-21 13:54:31;{990006};{880019};{};{Christina Rensinghof};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
pick item;2019-05-21 14:35:04;{990009};{880031};{};{Junxiong Gao};{MacBook Air};2200.0;1.25;Fullfillment;yes;no;no;no
pick item;2019-05-21 14:44:27;{990009};{880036};{};{Junxiong Gao};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
place order;2019-05-21 14:45:32;{990013};{880046,880047};{};{Junxiong Gao};{iPhone 11 Pro,iPhone X};1853.0;0.36;Finance;yes;no;no;no
pick item;2019-05-21 15:05:01;{990010};{880037};{};{Wil van der Aalst};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
pick item;2019-05-21 15:35:46;{990012};{880045};{};{Gyunam Park};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
item out of stock;2019-05-21 15:48:21;{990011};{880043};{};{Junxiong Gao};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
item out of stock;2019-05-21 16:22:36;{990003};{880011};{};{Wil van der Aalst};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
reorder item;2019-05-21 16:27:01;{990003};{880011};{};{Wil van der Aalst};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
item out of stock;2019-05-21 16:30:11;{990001};{880001};{};{Majid Rafiei};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
confirm order;2019-05-21 16:37:53;{990013};{880046,880047};{};{Junxiong Gao};{iPhone 11 Pro,iPhone X};1853.0;0.36;Finance;yes;no;no;no
place order;2019-05-21 16:50:50;{990014};{880048,880049,880050,880051,880052};{};{Christine Dobbert};{iPad Air,iPhone X,MacBook Air,iPhone X,iPhone 11 Pro};5228.0;2.222;Finance;yes;no;no;no
pick item;2019-05-21 17:05:27;{990007};{880027};{};{Lisa Mannel};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
pick item;2019-05-21 17:36:53;{990011};{880040};{};{Junxiong Gao};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pay order;2019-05-21 17:37:12;{990005};{880017,880018};{};{Wil van der Aalst};{iPhone X,iPhone X};1403.0;0.344;Finance;yes;no;no;no
pick item;2019-05-21 18:15:46;{990014};{880051};{};{Christine Dobbert};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
place order;2019-05-21 19:01:25;{990015};{880053,880054,880055,880056,880057};{};{Junxiong Gao};{Echo Studio,iPad Pro,MacBook Air,Fire Stick 4K,Kindle Paperwhite};3722.98;3.988;Finance;yes;no;no;no
pick item;2019-05-21 19:02:54;{990003};{880012};{};{Wil van der Aalst};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
confirm order;2019-05-21 19:46:26;{990014};{880048,880049,880050,880051,880052};{};{Christine Dobbert};{iPad Air,iPhone X,MacBook Air,iPhone X,iPhone 11 Pro};5228.0;2.222;Finance;yes;no;no;no
pick item;2019-05-21 20:43:34;{990013};{880046};{};{Junxiong Gao};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
place order;2019-05-21 21:42:21;{990016};{880058,880059,880060};{};{Kefang Ding};{iPad Pro,Kindle,iPhone 11 Pro};2332.99;1.154;Finance;yes;no;no;no
pick item;2019-05-21 21:58:44;{990016};{880059};{};{Kefang Ding};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
place order;2019-05-22 06:31:42;{990017};{880061,880062,880063};{};{Mohammadreza Fani Sani};{Fire Stick,iPad mini,iPhone 11};1292.99;0.646;Finance;yes;no;no;no
item out of stock;2019-05-22 08:02:46;{990015};{880054};{};{Junxiong Gao};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-05-22 08:52:53;{990005};{880017};{};{Wil van der Aalst};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pick item;2019-05-22 08:55:40;{990006};{880023};{};{Christina Rensinghof};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-05-22 09:03:12;{990006};{880022};{};{Christina Rensinghof};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
reorder item;2019-05-22 09:06:52;{990015};{880054};{};{Junxiong Gao};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-05-22 09:28:11;{990004};{880016};{};{Wil van der Aalst};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
confirm order;2019-05-22 09:54:57;{990010};{880037,880038,880039};{};{Wil van der Aalst};{iPad Air,Echo Show 8,Echo Plus};760.98;2.7;Finance;yes;no;no;no
item out of stock;2019-05-22 10:07:32;{990011};{880041};{};{Junxiong Gao};{MacBook Pro};2500.0;1.37;Fullfillment;yes;no;no;no
place order;2019-05-22 10:12:38;{990018};{880064,880065,880066};{};{Junxiong Gao};{Echo Dot,Echo Dot,Fire Stick 4K};154.97;1.04;Finance;yes;no;no;no
pick item;2019-05-22 10:20:27;{990010};{880039};{};{Wil van der Aalst};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
pay order;2019-05-22 10:27:50;{990013};{880046,880047};{};{Junxiong Gao};{iPhone 11 Pro,iPhone X};1853.0;0.36;Finance;yes;no;no;no
pick item;2019-05-22 10:43:57;{990006};{880025};{};{Christina Rensinghof};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
item out of stock;2019-05-22 11:01:40;{990008};{880030};{};{Luis Santos};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
pick item;2019-05-22 11:06:55;{990014};{880048};{};{Christine Dobbert};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
confirm order;2019-05-22 11:11:32;{990016};{880058,880059,880060};{};{Kefang Ding};{iPad Pro,Kindle,iPhone 11 Pro};2332.99;1.154;Finance;yes;no;no;no
pick item;2019-05-22 11:23:50;{990014};{880050};{};{Christine Dobbert};{MacBook Air};2200.0;1.25;Fullfillment;yes;no;no;no
place order;2019-05-22 11:45:02;{990019};{880067,880068,880069,880070};{};{Seran Uysal};{Echo Studio,Echo Studio,iPad Air,iPhone 8};1409.98;3.61;Finance;yes;no;no;no
confirm order;2019-05-22 11:47:38;{990017};{880061,880062,880063};{};{Mohammadreza Fani Sani};{Fire Stick,iPad mini,iPhone 11};1292.99;0.646;Finance;yes;no;no;no
pick item;2019-05-22 11:53:29;{990019};{880070};{};{Seran Uysal};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
reorder item;2019-05-22 12:35:39;{990007};{880026};{};{Lisa Mannel};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
item out of stock;2019-05-22 12:45:19;{990010};{880038};{};{Wil van der Aalst};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-05-22 13:44:27;{990015};{880056};{};{Junxiong Gao};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
place order;2019-05-22 13:49:49;{990020};{880071,880072,880073};{};{Lisa Mannel};{iPhone 11,iPad,iPad mini};1748.0;0.929;Finance;yes;no;no;no
confirm order;2019-05-22 14:36:41;{990015};{880053,880054,880055,880056,880057};{};{Junxiong Gao};{Echo Studio,iPad Pro,MacBook Air,Fire Stick 4K,Kindle Paperwhite};3722.98;3.988;Finance;yes;no;no;no
pick item;2019-05-22 14:42:21;{990007};{880026};{};{Lisa Mannel};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-05-22 14:48:34;{990018};{880066};{};{Junxiong Gao};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
pick item;2019-05-22 14:55:21;{990002};{880009};{};{Anahita Farhang Ghahfarokhi};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
confirm order;2019-05-22 15:42:08;{990012};{880044,880045};{};{Gyunam Park};{Echo Dot,Echo Studio};234.98;1.86;Finance;yes;no;no;no
pick item;2019-05-22 15:54:40;{990009};{880034};{};{Junxiong Gao};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
place order;2019-05-22 15:59:24;{990021};{880074,880075,880076,880077};{};{Junxiong Gao};{Kindle Paperwhite,iPhone X,Echo Studio,iPhone X};1731.99;2.319;Finance;yes;no;no;no
pick item;2019-05-22 16:00:24;{990014};{880049};{};{Christine Dobbert};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pick item;2019-05-22 16:15:48;{990015};{880057};{};{Junxiong Gao};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pick item;2019-05-22 16:41:15;{990005};{880018};{};{Wil van der Aalst};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pay order;2019-05-22 16:46:04;{990014};{880048,880049,880050,880051,880052};{};{Christine Dobbert};{iPad Air,iPhone X,MacBook Air,iPhone X,iPhone 11 Pro};5228.0;2.222;Finance;yes;no;no;no
item out of stock;2019-05-22 17:15:28;{990014};{880052};{};{Christine Dobbert};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
pick item;2019-05-22 17:49:23;{990021};{880077};{};{Junxiong Gao};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
confirm order;2019-05-22 18:04:24;{990011};{880040,880041,880042,880043};{};{Junxiong Gao};{Kindle Paperwhite,MacBook Pro,Fire Stick 4K,Echo Plus};2873.98;3.425;Finance;yes;no;no;no
pick item;2019-05-22 18:14:37;{990020};{880072};{};{Lisa Mannel};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
place order;2019-05-22 18:18:33;{990022};{880078,880079,880080,880081};{};{Luis Santos};{iPhone 11 Pro,Echo Dot,Fire Stick,iPhone 8};1752.98;0.978;Finance;yes;no;no;no
pick item;2019-05-22 18:58:11;{990018};{880065};{};{Junxiong Gao};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
pick item;2019-05-22 19:07:32;{990004};{880014};{};{Wil van der Aalst};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
pick item;2019-05-22 19:48:36;{990021};{880075};{};{Junxiong Gao};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
place order;2019-05-22 20:35:11;{990023};{880082,880083,880084};{};{Marco Pegoraro};{MacBook Pro,Echo Studio,MacBook Pro};5204.99;4.22;Finance;yes;no;no;no
place order;2019-05-23 00:48:41;{990024};{880085,880086,880087};{};{Mohammadreza Fani Sani};{Fire Stick 4K,iPad Air,Fire Stick 4K};660.98;1.0;Finance;yes;no;no;no
pick item;2019-05-23 08:58:59;{990022};{880079};{};{Luis Santos};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
place order;2019-05-23 09:55:19;{990025};{880088,880089,880090};{};{Christina Rensinghof};{Fire Stick 4K,Kindle Paperwhite,Echo Show 5};313.98;1.655;Finance;yes;no;no;no
pick item;2019-05-23 09:59:06;{990023};{880084};{};{Marco Pegoraro};{MacBook Pro};2500.0;1.37;Fullfillment;yes;no;no;no
item out of stock;2019-05-23 10:02:04;{990022};{880078};{};{Luis Santos};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
pick item;2019-05-23 10:03:45;{990021};{880076};{};{Junxiong Gao};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
pick item;2019-05-23 10:04:18;{990016};{880058};{};{Kefang Ding};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
create package;2019-05-23 10:04:18;{990001};{880003,880006,880002,880004,880005};{660001};{Majid Rafiei};{Kindle Paperwhite,iPad mini,Fire Stick 4K,Kindle,iPad mini};1196.98;1.818;Fullfillment;yes;no;no;no
pick item;2019-05-23 10:12:24;{990021};{880074};{};{Junxiong Gao};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pick item;2019-05-23 10:20:53;{990019};{880067};{};{Seran Uysal};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
item out of stock;2019-05-23 10:37:29;{990023};{880082};{};{Marco Pegoraro};{MacBook Pro};2500.0;1.37;Fullfillment;yes;no;no;no
pick item;2019-05-23 11:07:37;{990002};{880008};{};{Anahita Farhang Ghahfarokhi};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pick item;2019-05-23 11:10:46;{990025};{880089};{};{Christina Rensinghof};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
reorder item;2019-05-23 11:12:46;{990022};{880078};{};{Luis Santos};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
send package;2019-05-23 11:12:50;{990001};{880003,880006,880002,880004,880005};{660001};{Majid Rafiei};{Kindle Paperwhite,iPad mini,Fire Stick 4K,Kindle,iPad mini};1196.98;1.818;Fullfillment;yes;no;no;no
confirm order;2019-05-23 11:54:38;{990023};{880082,880083,880084};{};{Marco Pegoraro};{MacBook Pro,Echo Studio,MacBook Pro};5204.99;4.22;Finance;yes;no;no;no
place order;2019-05-23 12:10:24;{990026};{880091,880092,880093,880094};{};{Wil van der Aalst};{iPad Air,Echo Plus,Echo Studio,iPhone X};1529.98;3.372;Finance;yes;no;no;no
pick item;2019-05-23 12:15:23;{990026};{880093};{};{Wil van der Aalst};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
create package;2019-05-23 12:15:23;{990002};{880009,880008,880010};{660002};{Anahita Farhang Ghahfarokhi};{iPhone X,iPhone X,Echo Plus};1547.99;1.624;Fullfillment;yes;no;no;no
pick item;2019-05-23 12:44:11;{990026};{880094};{};{Wil van der Aalst};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pick item;2019-05-23 13:13:35;{990017};{880063};{};{Mohammadreza Fani Sani};{iPhone 11};799.0;0.166;Fullfillment;yes;no;no;no
item out of stock;2019-05-23 13:22:58;{990016};{880060};{};{Kefang Ding};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
confirm order;2019-05-23 13:25:31;{990021};{880074,880075,880076,880077};{};{Junxiong Gao};{Kindle Paperwhite,iPhone X,Echo Studio,iPhone X};1731.99;2.319;Finance;yes;no;no;no
place order;2019-05-23 13:40:33;{990027};{880095,880096,880097,880098,880099,880100};{};{Luis Santos};{MacBook Pro,iPhone X,Echo Show 5,Kindle Paperwhite,Echo Studio,iPad Air};4098.98;4.837;Finance;yes;no;no;no
send package;2019-05-23 13:47:30;{990002};{880009,880008,880010};{660002};{Anahita Farhang Ghahfarokhi};{iPhone X,iPhone X,Echo Plus};1547.99;1.624;Fullfillment;yes;no;no;no
pick item;2019-05-23 14:01:00;{990015};{880055};{};{Junxiong Gao};{MacBook Air};2200.0;1.25;Fullfillment;yes;no;no;no
create package;2019-05-23 14:01:00;{990010,990003,990005,990004,990026};{880037,880012,880017,880016,880039,880018,880014,880093,880094,880015};{660003};{Wil van der Aalst};{iPad Air,Kindle Paperwhite,iPhone X,Echo,Echo Plus,iPhone X,Echo Dot,Echo Studio,iPhone X,Kindle};3261.95;5.854;Fullfillment;yes;no;no;no
pay order;2019-05-23 14:26:16;{990016};{880058,880059,880060};{};{Kefang Ding};{iPad Pro,Kindle,iPhone 11 Pro};2332.99;1.154;Finance;yes;no;no;no
pick item;2019-05-23 14:27:39;{990015};{880053};{};{Junxiong Gao};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
pick item;2019-05-23 14:45:25;{990027};{880095};{};{Luis Santos};{MacBook Pro};2500.0;1.37;Fullfillment;yes;no;no;no
send package;2019-05-23 15:05:39;{990010,990003,990005,990004,990026};{880037,880012,880017,880016,880039,880018,880014,880093,880094,880015};{660003};{Wil van der Aalst};{iPad Air,Kindle Paperwhite,iPhone X,Echo,Echo Plus,iPhone X,Echo Dot,Echo Studio,iPhone X,Kindle};3261.95;5.854;Fullfillment;yes;no;no;no
reorder item;2019-05-23 15:18:52;{990011};{880043};{};{Junxiong Gao};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
package delivered;2019-05-23 15:34:21;{990010,990003,990005,990004,990026};{880037,880012,880017,880016,880039,880018,880014,880093,880094,880015};{660003};{Wil van der Aalst};{iPad Air,Kindle Paperwhite,iPhone X,Echo,Echo Plus,iPhone X,Echo Dot,Echo Studio,iPhone X,Kindle};3261.95;5.854;Delivery;yes;no;no;no
place order;2019-05-23 15:40:52;{990028};{880101,880102,880103};{};{Wil van der Aalst};{MacBook Air,Kindle Paperwhite,Echo Dot};2363.99;2.125;Finance;yes;no;no;no
item out of stock;2019-05-23 15:45:58;{990017};{880061};{};{Mohammadreza Fani Sani};{Fire Stick};39.99;0.2;Fullfillment;yes;no;no;no
confirm order;2019-05-23 16:21:44;{990018};{880064,880065,880066};{};{Junxiong Gao};{Echo Dot,Echo Dot,Fire Stick 4K};154.97;1.04;Finance;yes;no;no;no
pick item;2019-05-23 16:27:18;{990003};{880011};{};{Wil van der Aalst};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
pick item;2019-05-23 16:41:31;{990017};{880062};{};{Mohammadreza Fani Sani};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
confirm order;2019-05-23 16:53:58;{990026};{880091,880092,880093,880094};{};{Wil van der Aalst};{iPad Air,Echo Plus,Echo Studio,iPhone X};1529.98;3.372;Finance;yes;no;no;no
confirm order;2019-05-23 17:28:59;{990027};{880095,880096,880097,880098,880099,880100};{};{Luis Santos};{MacBook Pro,iPhone X,Echo Show 5,Kindle Paperwhite,Echo Studio,iPad Air};4098.98;4.837;Finance;yes;no;no;no
reorder item;2019-05-23 17:40:54;{990014};{880052};{};{Christine Dobbert};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
place order;2019-05-23 17:41:29;{990029};{880104,880105,880106};{};{Tobias Brockhoff};{MacBook Air,Fire Stick,MacBook Pro};4744.99;2.82;Finance;yes;no;no;no
pick item;2019-05-23 18:17:26;{990020};{880073};{};{Lisa Mannel};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
reorder item;2019-05-23 18:20:38;{990010};{880038};{};{Wil van der Aalst};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-05-23 18:48:07;{990027};{880096};{};{Luis Santos};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
pick item;2019-05-23 19:01:44;{990027};{880100};{};{Luis Santos};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
place order;2019-05-23 19:43:59;{990030};{880107,880108,880109,880110};{};{Mahnaz Qafari};{Echo Show 8,Echo Plus,Echo Show 5,Echo Dot};404.96;3.52;Finance;yes;no;no;no
pick item;2019-05-23 22:11:30;{990030};{880110};{};{Mahnaz Qafari};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
place order;2019-05-23 23:07:29;{990031};{880111,880112,880113,880114,880115,880116};{};{Kefang Ding};{iPad Air,iPad,Kindle,iPhone 11,iPhone X,Echo Show 5};2643.98;2.624;Finance;yes;no;no;no
confirm order;2019-05-24 08:33:32;{990031};{880111,880112,880113,880114,880115,880116};{};{Kefang Ding};{iPad Air,iPad,Kindle,iPhone 11,iPhone X,Echo Show 5};2643.98;2.624;Finance;yes;no;no;no
place order;2019-05-24 09:00:30;{990032};{880117,880118,880119,880120,880121,880122};{};{Mahnaz Qafari};{Echo Studio,iPad mini,Fire Stick 4K,Echo Studio,Echo Show 8,iPad Air};1549.96;4.94;Finance;yes;no;no;no
pick item;2019-05-24 09:12:45;{990031};{880114};{};{Kefang Ding};{iPhone 11};799.0;0.166;Fullfillment;yes;no;no;no
pick item;2019-05-24 09:25:27;{990032};{880120};{};{Mahnaz Qafari};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
create package;2019-05-24 09:25:27;{990008,990022,990027};{880029,880079,880095,880096,880100,880028};{660004};{Luis Santos};{iPad mini,Echo Dot,MacBook Pro,iPhone X,iPad Air,Echo Studio};4353.98;4.122;Fullfillment;yes;no;no;no
pick item;2019-05-24 09:25:34;{990014};{880052};{};{Christine Dobbert};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
confirm order;2019-05-24 09:34:46;{990022};{880078,880079,880080,880081};{};{Luis Santos};{iPhone 11 Pro,Echo Dot,Fire Stick,iPhone 8};1752.98;0.978;Finance;yes;no;no;no
pick item;2019-05-24 09:58:11;{990028};{880102};{};{Wil van der Aalst};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pick item;2019-05-24 10:00:27;{990031};{880111};{};{Kefang Ding};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
confirm order;2019-05-24 10:10:23;{990024};{880085,880086,880087};{};{Mohammadreza Fani Sani};{Fire Stick 4K,iPad Air,Fire Stick 4K};660.98;1.0;Finance;yes;no;no;no
reorder item;2019-05-24 10:11:46;{990011};{880042};{};{Junxiong Gao};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
